+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+---------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                              | Valid for           |
|  51 | mist:up_swampy_meadow                      | Swampy Meadow                                              |  1.10 | WARM     | 0.70 | false | false   |            | PLAINS, SWAMP, WET                                | stronghold          |
|  52 | mist:up_swampy_forest                      | Swampy Forest                                              |  0.70 | MEDIUM   | 0.90 | false | false   |            | FOREST, SWAMP, WET                                | stronghold          |
|  53 | mist:up_jungle                             | Jungle                                                     |  1.50 | WARM     | 0.90 | false | false   |            | FOREST, JUNGLE, LUSH, WET                         | stronghold          |
|  54 | mist:up_jungle_edge                        | Jungle Edge                                                |  1.60 | WARM     | 0.80 | false | false   |            | JUNGLE, WET                                       | stronghold          |
|  55 | mist:up_jungle_hills                       | Jungle Hills                                               |  1.50 | WARM     | 0.90 | false | false   |            | FOREST, HILLS, JUNGLE, LUSH                       | stronghold          |
|  56 | mist:up_lake                               | Lake                                                       |  1.30 | WARM     | 0.60 | false | false   |            | RIVER, WATER, WET                                 | stronghold          |
|  57 | mist:up_lowland                            | Lowland                                                    |  0.70 | MEDIUM   | 0.90 | false | false   |            | JUNGLE, WET                                       | stronghold          |
|  58 | mist:up_cold_lowland                       | Cold Lowland                                               | -0.30 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER, WET                    | stronghold          |
|  59 | mist:up_marsh                              | Marsh                                                      |  0.70 | MEDIUM   | 0.90 | false | false   |            | RIVER, WATER, WET                                 | stronghold          |
|  60 | mist:border_plains                         | Plains Border                                              |  1.30 | WARM     | 0.40 | false | false   |            | PLAINS, WASTELAND                                 | stronghold          |
|  61 | mist:border_desert                         | Desert Border                                              |  1.60 | WARM     | 0.20 | false | false   |            | DRY, HOT, SANDY, WASTELAND                        | stronghold          |
|  62 | mist:border_cold                           | Cold Border                                                |  0.10 | COLD     | 0.00 |  true | false   |            | COLD, SNOWY, WASTELAND                            | stronghold          |
|  63 | mist:border_swamp                          | Swampland Border                                           |  1.10 | WARM     | 0.50 | false | false   |            | WASTELAND, WET                                    | stronghold          |
|  64 | mist:border_jungle                         | Jungle Border                                              |  1.60 | WARM     | 0.70 | false | false   |            | JUNGLE, WASTELAND, WET                            | stronghold          |
|  65 | mist:border_down                           | Down Border                                                |  1.50 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                      |                     |
|  66 | mist:separator                             | Border                                                     |  1.00 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                      | stronghold          |
|  67 | mist:down                                  | Down                                                       |  1.50 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                      |                     |
|  68 | mist:down_forest                           | Down Forest                                                |  1.30 | WARM     | 0.70 | false | false   |            | DEAD, SPOOKY                                      |                     |
|  69 | mist:down_swamp                            | Down Swamp                                                 |  1.70 | WARM     | 0.90 | false | false   |            | DEAD, SPOOKY                                      |                     |
|  70 | mist:down_center                           | Down Center                                                |  1.90 | WARM     | 0.10 | false | false   |            | DEAD, SPOOKY                                      |                     |
|  71 | thaumcraft:magical_forest                  | Magical Forest                                             |  0.80 | MEDIUM   | 0.40 | false | false   |            | FOREST, MAGICAL                                   | stronghold          |
|  72 | thaumcraft:eerie                           | Eerie                                                      |  0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                   | stronghold          |
|  73 | thaumcraft:eldritch                        | Outer Lands                                                |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                              | stronghold          |
|  74 | kathairis:mystic forest                    | Mystic Forest                                              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST                                     | stronghold          |
|  75 | kathairis:mystic plains                    | Mystic Plains                                              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, PLAINS                                     | stronghold          |
|  76 | kathairis:mystic desert                    | Mystic Desert                                              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, HOT, PLAINS                                 | stronghold          |
|  77 | kathairis:mystic swamps                    | Mystic Swamps                                              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DRY                                               | stronghold          |
|  78 | kathairis:floating islands                 | Floating Islands                                           |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, OCEAN, WATER                             |                     |
|  79 | kathairis:katharian ocean                  | Katharian Ocean                                            |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, OCEAN, WATER                             |                     |
|  80 | rats:ratlantis                             | ratlantis                                                  |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                           | stronghold          |
|  81 | thaumicaugmentation:emptiness              | Emptiness                                                  |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                        | spawn               |
|  82 | thaumicaugmentation:tainted_lands          | Tainted Lands                                              |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                                | spawn               |
|  83 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID       | spawn, stronghold   |
|  84 | wizardry:wizardry_underworld               | wizardry_underworld                                        |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, MAGICAL, SPOOKY, VOID                  | stronghold          |
|  85 | arcaneworld:arcane_void                    | arcane_void                                                |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                            | stronghold          |
|  86 | arcaneworld:arcane_dungeon                 | Arcane Dungeon                                             |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                              | stronghold          |
|  87 | aether_legacy:aether_highlands             | Aether                                                     |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, MAGICAL, VOID                               | stronghold          |
|  88 | blue_skies:calming_skies                   | Calming Skies                                              |  0.30 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, MAGICAL, PLAINS                        | stronghold          |
|  89 | blue_skies:brightlands                     | Brightlands                                                |  0.00 | COLD     | 0.80 |  true | false   |            | COLD, HILLS, MAGICAL, MOUNTAIN, SNOWY             | stronghold          |
|  90 | blue_skies:peeking_oceans                  | Peeking Oceans                                             |  0.20 | OCEAN    | 0.00 | false | false   |            | COLD, DRY, MAGICAL, OCEAN, PLAINS, WATER          |                     |
|  91 | blue_skies:pale_swamplands                 | Pale Swamplands                                            |  0.50 | MEDIUM   | 0.80 | false | false   |            | MAGICAL, PLAINS, SNOWY, SWAMP                     |                     |
|  92 | blue_skies:frostbit_forest                 | Frostbitten Forest                                         |  0.00 | COLD     | 0.80 |  true | false   |            | COLD, DENSE, FOREST, LUSH, MAGICAL, PLAINS, SNOWY | stronghold          |
|  93 | blue_skies:unorthodox_valley               | Unorthodox Valley                                          |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS, MAGICAL, MOUNTAIN                          | stronghold          |
|  94 | blue_skies:shaded_woods                    | Shaded Woodlands                                           |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, LUSH, PLAINS, SPOOKY               | stronghold          |
|  95 | blue_skies:crystal_dunes                   | Crystal Dunes                                              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, DRY, PLAINS, SANDY                          | stronghold          |
|  96 | blue_skies:sunset_maple_forest             | Sunset Maple Forest                                        |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                            | stronghold          |
|  97 | dimdoors:limbo                             | Limbo                                                      |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                              | stronghold          |
|  98 | dimdoors:white_void                        | White Void                                                 |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                              |                     |
|  99 | dimdoors:black_void                        | Black Void                                                 |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                              |                     |
| 100 | dimdoors:dangerous_black_void              | Dangerous Black Void                                       |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                              |                     |
| 101 | thebetweenlands:patchy_islands             | Patchy Islands                                             |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                 | stronghold          |
| 102 | thebetweenlands:swamplands                 | Swamplands                                                 |  0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                  | stronghold          |
| 103 | thebetweenlands:deep_waters                | Deep Waters                                                |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                      | stronghold          |
| 104 | thebetweenlands:coarse_islands             | Coarse Islands                                             |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                 | stronghold          |
| 105 | thebetweenlands:raised_isles               | Raised Isles                                               |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                 | stronghold          |
| 106 | thebetweenlands:sludge_plains              | Sludge Plains                                              |  0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                       | stronghold          |
| 107 | thebetweenlands:marsh_0                    | Marsh 0                                                    |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                 | stronghold          |
| 108 | thebetweenlands:marsh_1                    | Marsh 1                                                    |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                 | stronghold          |
| 109 | thebetweenlands:swamplands_clearing        | Swamplands Clearing                                        |  0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                  | stronghold          |
| 110 | thebetweenlands:sludge_plains_clearing     | Sludge Plains Clearing                                     |  0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                       | stronghold          |
| 127 | minecraft:void                             | The Void                                                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                              | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                      | stronghold          |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                             | stronghold          |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                            | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                               | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE          | stronghold          |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                           |                     |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                          | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET           | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                  | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                        | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                     | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M                                            |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY             | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY   | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                               | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M                                      |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                        | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                            | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE         | stronghold          |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                  | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                     | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                  | stronghold          |
+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+---------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                              | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+---------------------------------------------------+---------------------+
