+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name            | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
|  51 | mist:up_swampy_forest                      | Swampy Forest         |  0.70 | MEDIUM   | 0.90 | false | false   |            | FOREST, SWAMP, WET                              | stronghold                 |
|  52 | mist:up_jungle                             | Jungle                |  1.50 | WARM     | 0.90 | false | false   |            | FOREST, JUNGLE, LUSH, WET                       | stronghold                 |
|  53 | mist:up_jungle_edge                        | Jungle Edge           |  1.60 | WARM     | 0.80 | false | false   |            | JUNGLE, WET                                     | stronghold                 |
|  54 | mist:up_jungle_hills                       | Jungle Hills          |  1.50 | WARM     | 0.90 | false | false   |            | FOREST, HILLS, JUNGLE, LUSH                     | stronghold                 |
|  55 | mist:up_lake                               | Lake                  |  1.30 | WARM     | 0.60 | false | false   |            | RIVER, WATER, WET                               | stronghold                 |
|  56 | mist:up_marsh                              | Marsh                 |  0.70 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                      | stronghold                 |
|  57 | mist:up_lowland                            | Lowland               |  0.70 | MEDIUM   | 0.90 | false | false   |            | RIVER, WATER, WET                               | stronghold                 |
|  58 | mist:up_cold_lowland                       | Cold Lowland          | -0.30 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER, WET                  | stronghold                 |
|  59 | mist:border_plains                         | Plains Border         |  1.30 | WARM     | 0.40 | false | false   |            | PLAINS, WASTELAND                               | stronghold                 |
|  60 | mist:border_desert                         | Desert Border         |  1.60 | WARM     | 0.20 | false | false   |            | DRY, HOT, SANDY, WASTELAND                      | stronghold                 |
|  61 | mist:border_cold                           | Cold Border           |  0.10 | COLD     | 0.00 |  true | false   |            | COLD, SNOWY, WASTELAND                          | stronghold                 |
|  62 | mist:border_swamp                          | Swampland Border      |  1.10 | WARM     | 0.50 | false | false   |            | WASTELAND, WET                                  | stronghold                 |
|  63 | mist:border_jungle                         | Jungle Border         |  1.60 | WARM     | 0.70 | false | false   |            | JUNGLE, WASTELAND, WET                          | stronghold                 |
|  64 | mist:border_down                           | Down Border           |  1.50 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                    |                            |
|  65 | mist:separator                             | Border                |  1.00 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                    | stronghold                 |
|  66 | mist:down                                  | Down                  |  1.50 | WARM     | 0.50 | false | false   |            | DEAD, SPOOKY                                    |                            |
|  67 | mist:down_forest                           | Down Forest           |  1.30 | WARM     | 0.70 | false | false   |            | DEAD, SPOOKY                                    |                            |
|  68 | mist:down_swamp                            | Down Swamp            |  1.70 | WARM     | 0.90 | false | false   |            | DEAD, SPOOKY                                    |                            |
|  69 | mist:down_center                           | Down Center           |  1.90 | WARM     | 0.10 | false | false   |            | DEAD, SPOOKY                                    |                            |
|  70 | aether:aether_highlands                    | Highlands             |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  71 | aether:aether_magnetic_hills               | Magnetic Hills        |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  72 | aether:aether_arctic_peaks                 | Arctic Peaks          |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, PLAINS, SNOWY                             | stronghold                 |
|  73 | aether:aether_forgotten_highlands          | Forgotten Highlands   |  0.00 | COLD     | 0.50 | false | false   |            | COLD, PLAINS                                    | stronghold                 |
|  74 | aether:aether_irradiated_forests           | Irradiated Forests    |  0.00 | COLD     | 0.50 | false | false   |            | COLD, PLAINS                                    | stronghold                 |
|  75 | aether:aether_void                         | Aether Void           |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  76 | aether:instanced_zone                      | Instanced Zone        |  0.50 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                     | stronghold                 |
|  77 | thaumcraft:magical_forest                  | Magical Forest        |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                 | stronghold                 |
|  78 | thaumcraft:eerie                           | Eerie                 |  0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                 | stronghold                 |
|  79 | thaumcraft:eldritch                        | Outer Lands           |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                            | stronghold                 |
|  80 | iceandfire:glacier                         | Glacier               |  0.00 | COLD     | 0.50 |  true | false   | COOL       | COLD, DEAD, SNOWY, SPARSE, WASTELAND            | spawn, stronghold          |
|  81 | mystic:mystic forest                       | Mystic Forest         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST                                   | stronghold                 |
|  82 | mystic:mystic plains                       | Mystic Plains         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, PLAINS                                   | stronghold                 |
|  83 | mystic:mystic desert                       | Mystic Desert         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, HOT, PLAINS                               | stronghold                 |
|  84 | mystic:mystic swamps                       | Mystic Swamps         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DRY                                             | stronghold                 |
|  85 | mystic:floating islands                    | Floating Islands      |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, OCEAN, WATER                           |                            |
|  86 | mystic:katharian ocean                     | Katharian Ocean       |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, OCEAN, WATER                           |                            |
|  87 | wizardry:wizardry_underworld               | wizardry_underworld   |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, MAGICAL, SPOOKY, VOID                | stronghold                 |
|  88 | arcaneworld:arcane_void                    | arcane_void           |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  89 | midnight:vigilant_forest                   | vigilant_forest       |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST                                          | stronghold                 |
|  90 | midnight:black_ridge                       | black_ridge           |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  91 | midnight:fungi_forest                      | fungi_forest          |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  92 | midnight:molten_crater                     | molten_crater         |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, RIVER, WATER                            |                            |
|  93 | midnight:molten_crater_edge                | molten_crater_edge    |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          |                            |
|  94 | midnight:obscured_peaks                    | obscured_peaks        |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS                                           | stronghold                 |
|  95 | midnight:warped_fields                     | warped_fields         |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS                                           | stronghold                 |
|  96 | midnight:crystal_plains                    | crystal_plains        |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  97 | thebetweenlands:patchy_islands             | Patchy Islands        |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
|  98 | thebetweenlands:swamplands                 | Swamplands            |  0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                | stronghold                 |
|  99 | thebetweenlands:deep_waters                | Deep Waters           |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                    | stronghold                 |
| 100 | thebetweenlands:coarse_islands             | Coarse Islands        |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 101 | thebetweenlands:sludge_plains              | Sludge Plains         |  0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                     | stronghold                 |
| 102 | thebetweenlands:marsh_0                    | Marsh 0               |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 103 | thebetweenlands:marsh_1                    | Marsh 1               |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 127 | minecraft:void                             | The Void              |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold                 |
| 129 | minecraft:mutated_plains                   | Sunflower Plains      |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold                 |
| 130 | minecraft:mutated_desert                   | Desert M              |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold                 |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M       |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 132 | minecraft:mutated_forest                   | Flower Forest         |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold                 |
| 133 | minecraft:mutated_taiga                    | Taiga M               |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold                 |
| 134 | minecraft:mutated_swampland                | Swampland M           |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         |                            |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes     |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold                 |
| 149 | minecraft:mutated_jungle                   | Jungle M              |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold                 |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M          |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold                 |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M        |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M  |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold                 |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M       |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold                 |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M          | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold                 |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga     |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M      |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 163 | minecraft:mutated_savanna                  | Savanna M             |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold                 |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M     |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M      |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold                 |
+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name            | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
+-----+--------------------------------------------+-----------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
