+-----------------------------------------------------+------+
| Registry name                                       |   ID |
| botania:enchanterfade                               |  753 |
| botania:enchanterform                               |  752 |
| botania:endoflame                                   |  755 |
| botania:equipbauble                                 |  756 |
| botania:gaiatrap                                    |  757 |
| botania:goldenlaurel                                |  758 |
| botania:holycloak                                   |  759 |
| botania:laputastart                                 |  760 |
| botania:lexiconopen                                 |  761 |
| botania:lexiconpage                                 |  762 |
| botania:lightrelay                                  |  763 |
| botania:manablaster                                 |  764 |
| botania:manapoolcraft                               |  765 |
| botania:missile                                     |  766 |
| botania:music.gaia1                                 |  780 |
| botania:music.gaia2                                 |  781 |
| botania:orechid                                     |  767 |
| botania:potioncreate                                |  768 |
| botania:runealtarcraft                              |  769 |
| botania:runealtarstart                              |  770 |
| botania:spreaderfire                                |  771 |
| botania:starcaller                                  |  772 |
| botania:terrablade                                  |  773 |
| botania:terraformrod                                |  774 |
| botania:terrapickmode                               |  775 |
| botania:terrasteelcraft                             |  776 |
| botania:thermalily                                  |  777 |
| botania:unholycloak                                 |  778 |
| botania:way                                         |  779 |
| chisel:dirt_chisel                                  |  587 |
| chisel:fallback                                     |  585 |
| chisel:metal_break                                  |  580 |
| chisel:metal_fall                                   |  581 |
| chisel:metal_hit                                    |  582 |
| chisel:metal_place                                  |  583 |
| chisel:metal_step                                   |  584 |
| chisel:wood_chisel                                  |  586 |
| dimdoors:crack                                      |  938 |
| dimdoors:creepy                                     |  939 |
| dimdoors:door_lock_removed                          |  941 |
| dimdoors:door_locked                                |  940 |
| dimdoors:key_lock                                   |  942 |
| dimdoors:key_unlock                                 |  943 |
| dimdoors:monk                                       |  944 |
| dimdoors:rift                                       |  945 |
| dimdoors:rift_close                                 |  946 |
| dimdoors:rift_door                                  |  947 |
| dimdoors:rift_end                                   |  948 |
| dimdoors:rift_start                                 |  949 |
| dimdoors:tearing                                    |  950 |
| ebwizardry:arc                                      |  782 |
| ebwizardry:aura                                     |  783 |
| ebwizardry:boom                                     |  784 |
| ebwizardry:crackle                                  |  785 |
| ebwizardry:darkaura                                 |  786 |
| ebwizardry:effect                                   |  787 |
| ebwizardry:electricitya                             |  788 |
| ebwizardry:electricityb                             |  789 |
| ebwizardry:flameray                                 |  790 |
| ebwizardry:force                                    |  800 |
| ebwizardry:freeze                                   |  791 |
| ebwizardry:frostray                                 |  792 |
| ebwizardry:heal                                     |  793 |
| ebwizardry:ice                                      |  794 |
| ebwizardry:largeaura                                |  795 |
| ebwizardry:magic                                    |  796 |
| ebwizardry:rumble                                   |  799 |
| ebwizardry:sparkle                                  |  797 |
| ebwizardry:wind                                     |  798 |
| embers:block.activator.plume                        |  809 |
| embers:block.alchemy.fail                           |  801 |
| embers:block.alchemy.loop                           |  803 |
| embers:block.alchemy.start                          |  804 |
| embers:block.alchemy.success                        |  802 |
| embers:block.beam_cannon.fire                       |  806 |
| embers:block.beam_cannon.hit                        |  807 |
| embers:block.boiler.plume                           |  810 |
| embers:block.bore.loop                              |  816 |
| embers:block.bore.loop_mine                         |  817 |
| embers:block.bore.start                             |  814 |
| embers:block.bore.stop                              |  815 |
| embers:block.catalytic_plug.loop                    |  820 |
| embers:block.catalytic_plug.loop_ready              |  821 |
| embers:block.catalytic_plug.start                   |  818 |
| embers:block.catalytic_plug.stop                    |  819 |
| embers:block.copper_charger.loop                    |  831 |
| embers:block.crystal_cell.grow                      |  813 |
| embers:block.crystal_cell.loop                      |  812 |
| embers:block.ember_transfer.emit.big                |  843 |
| embers:block.ember_transfer.emit.small              |  842 |
| embers:block.ember_transfer.receive.big             |  845 |
| embers:block.ember_transfer.receive.small           |  844 |
| embers:block.ember_transfer.relay                   |  846 |
| embers:block.field_chart.loop                       |  841 |
| embers:block.generator.loop                         |  808 |
| embers:block.heat_coil.cooking_loop                 |  825 |
| embers:block.heat_coil.high_loop                    |  822 |
| embers:block.heat_coil.low_loop                     |  824 |
| embers:block.heat_coil.mid_loop                     |  823 |
| embers:block.ignem_reactor.plume                    |  811 |
| embers:block.inferno_forge.close                    |  840 |
| embers:block.inferno_forge.fail                     |  835 |
| embers:block.inferno_forge.loop                     |  837 |
| embers:block.inferno_forge.open                     |  839 |
| embers:block.inferno_forge.start                    |  838 |
| embers:block.inferno_forge.success                  |  836 |
| embers:block.injector.loop                          |  832 |
| embers:block.melter.loop                            |  828 |
| embers:block.metal_seed.loop                        |  833 |
| embers:block.metal_seed.ping                        |  834 |
| embers:block.mini_boiler.loop_fast                  |  855 |
| embers:block.mini_boiler.loop_mid                   |  854 |
| embers:block.mini_boiler.loop_slow                  |  853 |
| embers:block.mini_boiler.pressure_loop_high         |  858 |
| embers:block.mini_boiler.pressure_loop_low          |  856 |
| embers:block.mini_boiler.pressure_loop_mid          |  857 |
| embers:block.mini_boiler.rupture                    |  852 |
| embers:block.mixer.loop                             |  829 |
| embers:block.pedestal.loop                          |  805 |
| embers:block.pipe.connect                           |  862 |
| embers:block.pipe.disconnect                        |  863 |
| embers:block.plinth.loop                            |  830 |
| embers:block.pump.fast                              |  861 |
| embers:block.pump.mid                               |  860 |
| embers:block.pump.slow                              |  859 |
| embers:block.stamper.down                           |  826 |
| embers:block.stamper.up                             |  827 |
| embers:block.steam_engine.burn_loop                 |  850 |
| embers:block.steam_engine.start_burn                |  848 |
| embers:block.steam_engine.start_steam               |  847 |
| embers:block.steam_engine.steam_loop                |  849 |
| embers:block.steam_engine.stop                      |  851 |
| embers:entity.ancient_golem.death                   |  897 |
| embers:entity.ancient_golem.hurt                    |  898 |
| embers:entity.ancient_golem.punch                   |  899 |
| embers:entity.ancient_golem.step                    |  900 |
| embers:fireball.big.fire                            |  866 |
| embers:fireball.big.hit                             |  867 |
| embers:fireball.small.fire                          |  864 |
| embers:fireball.small.hit                           |  865 |
| embers:item.ash_amulet.burn                         |  881 |
| embers:item.bauble.equip                            |  892 |
| embers:item.bauble.unequip                          |  893 |
| embers:item.blazing_ray.empty                       |  869 |
| embers:item.blazing_ray.fire                        |  868 |
| embers:item.cinder_jet.boost                        |  874 |
| embers:item.cinder_staff.charge                     |  870 |
| embers:item.cinder_staff.fail                       |  871 |
| embers:item.cinder_staff.loop                       |  872 |
| embers:item.codex.category.close                    |  885 |
| embers:item.codex.category.open                     |  884 |
| embers:item.codex.category.select                   |  886 |
| embers:item.codex.category.switch                   |  888 |
| embers:item.codex.category.unselect                 |  887 |
| embers:item.codex.close                             |  883 |
| embers:item.codex.open                              |  882 |
| embers:item.codex.page.close                        |  890 |
| embers:item.codex.page.open                         |  889 |
| embers:item.codex.page.switch                       |  891 |
| embers:item.explosion_charm.absorb                  |  879 |
| embers:item.explosion_charm.recharge                |  880 |
| embers:item.heated.level_up                         |  873 |
| embers:item.inflictor_gem.absorb                    |  876 |
| embers:item.metallurgic_dust.convert                |  877 |
| embers:item.metallurgic_dust.fail                   |  878 |
| embers:item.resonating_bell.ring                    |  875 |
| embers:item.scale.break                             |  895 |
| embers:item.tyrfing.hit                             |  894 |
| embers:item.windup.spring                           |  896 |
| extrabitmanipulation:box_check                      |  951 |
| extrabitmanipulation:box_uncheck                    |  952 |
| fossil:allosaurus_death                             |  625 |
| fossil:allosaurus_hurt                              | 1388 |
| fossil:allosaurus_living                            |  635 |
| fossil:ankylosaurus_death                           | 1314 |
| fossil:ankylosaurus_hurt                            | 1325 |
| fossil:ankylosaurus_living                          | 1338 |
| fossil:anu_cough                                    | 1337 |
| fossil:anu_death_effect                             | 1365 |
| fossil:anu_laugh                                    | 1360 |
| fossil:anu_totem                                    |  618 |
| fossil:brachiosaurus_death                          | 1352 |
| fossil:brachiosaurus_hurt                           | 1347 |
| fossil:brachiosaurus_living                         | 1357 |
| fossil:ceratosaurus_death                           | 1364 |
| fossil:ceratosaurus_hurt                            |  638 |
| fossil:ceratosaurus_living                          | 1317 |
| fossil:compsognathus_death                          | 1308 |
| fossil:compsognathus_hurt                           | 1366 |
| fossil:compsognathus_living                         | 1297 |
| fossil:confusciusornis_death                        | 1305 |
| fossil:confusciusornis_hurt                         | 1309 |
| fossil:confusciusornis_living                       | 1381 |
| fossil:deinonychus_death                            | 1315 |
| fossil:deinonychus_hurt                             | 1355 |
| fossil:deinonychus_living                           |  628 |
| fossil:dilophosaurus_death                          | 1306 |
| fossil:dilophosaurus_hurt                           | 1342 |
| fossil:dilophosaurus_living                         | 1310 |
| fossil:dodo_death                                   | 1303 |
| fossil:dodo_hurt                                    | 1367 |
| fossil:dodo_living                                  | 1331 |
| fossil:drum_single                                  |  637 |
| fossil:drum_triple                                  | 1313 |
| fossil:dryosaurus_death                             | 1312 |
| fossil:dryosaurus_hurt                              |  645 |
| fossil:dryosaurus_living                            |  609 |
| fossil:elasmotherium_death                          | 1350 |
| fossil:elasmotherium_hurt                           |  646 |
| fossil:elasmotherium_living                         | 1298 |
| fossil:gallimimus_death                             | 1332 |
| fossil:gallimimus_hurt                              | 1319 |
| fossil:gallimimus_living                            |  632 |
| fossil:henodus_death                                |  614 |
| fossil:henodus_hurt                                 | 1316 |
| fossil:henodus_living                               | 1378 |
| fossil:icthyosaurus_death                           | 1380 |
| fossil:icthyosaurus_hurt                            | 1379 |
| fossil:icthyosaurus_living                          | 1295 |
| fossil:icthyosaurus_outside                         | 1304 |
| fossil:liopleurodon_death                           | 1382 |
| fossil:liopleurodon_hurt                            | 1353 |
| fossil:liopleurodon_living                          | 1389 |
| fossil:liopleurodon_living_inside                   |  643 |
| fossil:liopleurodon_living_outside                  | 1369 |
| fossil:mammoth_death                                |  620 |
| fossil:mammoth_hurt                                 | 1345 |
| fossil:mammoth_living                               | 1390 |
| fossil:megalania_death                              | 1335 |
| fossil:megalania_hurt                               |  641 |
| fossil:megalania_living                             | 1368 |
| fossil:megaloceros_death                            |  623 |
| fossil:megaloceros_hurt                             | 1339 |
| fossil:megaloceros_living                           | 1324 |
| fossil:megalodon_death                              | 1302 |
| fossil:megalodon_hurt                               |  633 |
| fossil:megalodon_hurt_outside                       | 1385 |
| fossil:megalodon_living                             |  640 |
| fossil:megalograptus_death                          | 1343 |
| fossil:megalograptus_hurt                           |  619 |
| fossil:megalograptus_living                         | 1301 |
| fossil:meganeura_death                              | 1318 |
| fossil:meganeura_fly                                | 1375 |
| fossil:meganeura_hurt                               | 1323 |
| fossil:meganeura_living                             | 1372 |
| fossil:mosasaurus_attack                            | 1320 |
| fossil:mosasaurus_death                             | 1383 |
| fossil:mosasaurus_hurt                              | 1387 |
| fossil:mosasaurus_living                            | 1359 |
| fossil:mosasaurus_living_inside                     | 1329 |
| fossil:mosasaurus_living_outside                    |  610 |
| fossil:music.anu                                    | 1327 |
| fossil:music.bones                                  |  606 |
| fossil:music.discovery                              |  644 |
| fossil:music.first_dinosaur                         |  631 |
| fossil:music.mating                                 | 1386 |
| fossil:music.scarab                                 | 1358 |
| fossil:pachycephalosaurus_death                     | 1334 |
| fossil:pachycephalosaurus_hurt                      | 1340 |
| fossil:pachycephalosaurus_living                    |  611 |
| fossil:parasaurolophus_death                        |  627 |
| fossil:parasaurolophus_hurt                         | 1356 |
| fossil:parasaurolophus_living                       |  629 |
| fossil:plesiosaurus_death                           | 1346 |
| fossil:plesiosaurus_hurt                            |  626 |
| fossil:plesiosaurus_living                          | 1361 |
| fossil:plesiosaurus_living_inside                   |  607 |
| fossil:plesiosaurus_living_outside                  |  639 |
| fossil:pterosaur_death                              | 1391 |
| fossil:pterosaur_hurt                               | 1373 |
| fossil:pterosaur_living                             | 1349 |
| fossil:quagga_death                                 | 1299 |
| fossil:quagga_hurt                                  |  630 |
| fossil:quagga_living                                |  624 |
| fossil:sarcosuchus_baby_living                      | 1362 |
| fossil:sarcosuchus_death                            | 1377 |
| fossil:sarcosuchus_hurt                             | 1354 |
| fossil:sarcosuchus_living                           | 1311 |
| fossil:smilodon_death                               |  634 |
| fossil:smilodon_hurt                                | 1370 |
| fossil:smilodon_living                              |  613 |
| fossil:spinosaurus_death                            |  615 |
| fossil:spinosaurus_hurt                             |  616 |
| fossil:spinosaurus_living                           | 1336 |
| fossil:spinosaurus_scream                           | 1384 |
| fossil:stegosaurus_death                            | 1374 |
| fossil:stegosaurus_hurt                             | 1328 |
| fossil:stegosaurus_living                           |  636 |
| fossil:tar                                          | 1376 |
| fossil:terror_bird_attack                           |  612 |
| fossil:terror_bird_death                            | 1322 |
| fossil:terror_bird_hurt                             | 1341 |
| fossil:terror_bird_living                           |  642 |
| fossil:therizinosaurus_death                        | 1330 |
| fossil:therizinosaurus_hurt                         | 1321 |
| fossil:therizinosaurus_living                       | 1351 |
| fossil:triceratops_death                            |  622 |
| fossil:triceratops_hurt                             |  608 |
| fossil:triceratops_living                           | 1363 |
| fossil:tyrannosaurus_death                          |  621 |
| fossil:tyrannosaurus_hurt                           | 1333 |
| fossil:tyrannosaurus_living                         | 1348 |
| fossil:tyrannosaurus_roar                           | 1344 |
| fossil:tyrannosaurus_scream                         | 1300 |
| fossil:tyrannosaurus_weak                           |  617 |
| fossil:velociraptor_death                           | 1307 |
| fossil:velociraptor_hurt                            | 1296 |
| fossil:velociraptor_living                          | 1371 |
| fossil:whip                                         | 1326 |
| iceandfire:cockatrice_cry                           | 1278 |
| iceandfire:cockatrice_die                           | 1205 |
| iceandfire:cockatrice_hurt                          | 1204 |
| iceandfire:cockatrice_idle                          | 1250 |
| iceandfire:cyclops_bite                             | 1249 |
| iceandfire:cyclops_blinded                          | 1198 |
| iceandfire:cyclops_hurt                             | 1234 |
| iceandfire:cyclops_idle                             | 1267 |
| iceandfire:deathworm_attack                         | 1241 |
| iceandfire:deathworm_die                            | 1229 |
| iceandfire:deathworm_giant_attack                   | 1175 |
| iceandfire:deathworm_giant_die                      | 1210 |
| iceandfire:deathworm_giant_hurt                     | 1237 |
| iceandfire:deathworm_giant_idle                     | 1227 |
| iceandfire:deathworm_hurt                           | 1176 |
| iceandfire:deathworm_idle                           | 1211 |
| iceandfire:dragon_flight                            | 1275 |
| iceandfire:dragon_hatch                             | 1257 |
| iceandfire:dragonflute                              | 1216 |
| iceandfire:firedragon_adult_death                   | 1212 |
| iceandfire:firedragon_adult_hurt                    | 1184 |
| iceandfire:firedragon_adult_idle                    | 1218 |
| iceandfire:firedragon_adult_roar                    | 1197 |
| iceandfire:firedragon_breath                        | 1254 |
| iceandfire:firedragon_child_death                   | 1220 |
| iceandfire:firedragon_child_hurt                    | 1202 |
| iceandfire:firedragon_child_idle                    | 1292 |
| iceandfire:firedragon_child_roar                    | 1217 |
| iceandfire:firedragon_teen_death                    | 1243 |
| iceandfire:firedragon_teen_hurt                     | 1290 |
| iceandfire:firedragon_teen_idle                     | 1273 |
| iceandfire:firedragon_teen_roar                     | 1179 |
| iceandfire:gold_pile_break                          | 1195 |
| iceandfire:gold_pile_step                           | 1240 |
| iceandfire:gorgon_attack                            | 1272 |
| iceandfire:gorgon_die                               | 1261 |
| iceandfire:gorgon_hurt                              | 1251 |
| iceandfire:gorgon_idle                              | 1282 |
| iceandfire:gorgon_petrify                           | 1239 |
| iceandfire:gorgon_turn_stone                        | 1294 |
| iceandfire:hippocampus_die                          | 1203 |
| iceandfire:hippocampus_hurt                         | 1192 |
| iceandfire:hippocampus_idle                         | 1181 |
| iceandfire:hippogryph_die                           | 1264 |
| iceandfire:hippogryph_hurt                          | 1230 |
| iceandfire:hippogryph_idle                          | 1262 |
| iceandfire:icedragon_adult_death                    | 1194 |
| iceandfire:icedragon_adult_hurt                     | 1291 |
| iceandfire:icedragon_adult_idle                     | 1200 |
| iceandfire:icedragon_adult_roar                     | 1279 |
| iceandfire:icedragon_breath                         | 1284 |
| iceandfire:icedragon_child_death                    | 1280 |
| iceandfire:icedragon_child_hurt                     | 1219 |
| iceandfire:icedragon_child_idle                     | 1186 |
| iceandfire:icedragon_child_roar                     | 1255 |
| iceandfire:icedragon_teen_death                     | 1259 |
| iceandfire:icedragon_teen_hurt                      | 1214 |
| iceandfire:icedragon_teen_idle                      | 1180 |
| iceandfire:icedragon_teen_roar                      | 1228 |
| iceandfire:mermaid_die                              | 1281 |
| iceandfire:mermaid_hurt                             | 1276 |
| iceandfire:mermaid_idle                             | 1177 |
| iceandfire:myrmex_bite                              | 1233 |
| iceandfire:myrmex_die                               | 1270 |
| iceandfire:myrmex_hurt                              | 1260 |
| iceandfire:myrmex_idle                              | 1287 |
| iceandfire:myrmex_sting                             | 1201 |
| iceandfire:myrmex_walk                              | 1269 |
| iceandfire:naga_attack                              | 1293 |
| iceandfire:naga_die                                 | 1235 |
| iceandfire:naga_hurt                                | 1288 |
| iceandfire:naga_idle                                | 1242 |
| iceandfire:pixie_die                                | 1283 |
| iceandfire:pixie_hurt                               | 1258 |
| iceandfire:pixie_idle                               | 1289 |
| iceandfire:pixie_taunt                              | 1274 |
| iceandfire:siren_song                               | 1187 |
| iceandfire:stymphalian_bird_attack                  | 1226 |
| iceandfire:stymphalian_bird_die                     | 1244 |
| iceandfire:stymphalian_bird_hurt                    | 1222 |
| iceandfire:stymphalian_bird_idle                    | 1188 |
| iceandfire:troll_die                                | 1265 |
| iceandfire:troll_hurt                               | 1185 |
| iceandfire:troll_idle                               | 1189 |
| iceandfire:troll_roar                               | 1231 |
| kathairis:kether.cloudglass.break                   |  574 |
| kathairis:kether.music.day                          |  560 |
| kathairis:kether.music.night                        |  561 |
| kathairis:kether.music.xmas                         |  577 |
| kathairis:kether.music_disc.8bit                    |  579 |
| kathairis:kether.music_disc.jazzy                   |  578 |
| kathairis:kether.pickaxe_turn                       |  576 |
| kathairis:kether.sandstorm                          |  575 |
| kathairis:mob.bird.bird                             |  549 |
| kathairis:mob.bison.dead                            |  557 |
| kathairis:mob.bison.hurt                            |  558 |
| kathairis:mob.bison.living                          |  559 |
| kathairis:mob.camel.ambient                         |  570 |
| kathairis:mob.camel.breath                          |  569 |
| kathairis:mob.camel.dead                            |  567 |
| kathairis:mob.camel.hurt                            |  568 |
| kathairis:mob.death.living                          |  565 |
| kathairis:mob.ghost.attack                          |  563 |
| kathairis:mob.ghost.dead                            |  564 |
| kathairis:mob.ghost.living                          |  562 |
| kathairis:mob.howler.dead                           |  551 |
| kathairis:mob.howler.hurt                           |  552 |
| kathairis:mob.howler.living                         |  550 |
| kathairis:mob.jellyfish.dead                        |  554 |
| kathairis:mob.jellyfish.hurt                        |  555 |
| kathairis:mob.jellyfish.living                      |  553 |
| kathairis:mob.oldman.ambient                        |  571 |
| kathairis:mob.scary.flower                          |  566 |
| kathairis:mob.skyray.ambient                        |  572 |
| kathairis:mob.skyray.hurt                           |  573 |
| kathairis:mob.turtle.dead                           |  556 |
| librarianlib:equip_bauble                           |  953 |
| malisisdoors:carriage_closed                        |  597 |
| malisisdoors:carriage_closing                       |  596 |
| malisisdoors:carriage_opening                       |  595 |
| malisisdoors:jaildoor                               |  589 |
| malisisdoors:rustydoor_closed                       |  600 |
| malisisdoors:rustydoor_closing                      |  599 |
| malisisdoors:rustydoor_opening                      |  598 |
| malisisdoors:rustyhatch_close                       |  594 |
| malisisdoors:rustyhatch_open                        |  593 |
| malisisdoors:shoji_door                             |  592 |
| malisisdoors:slidingdooro                           |  588 |
| malisisdoors:space_door_close                       |  591 |
| malisisdoors:space_door_open                        |  590 |
| meecreeps:intro1                                    | 1004 |
| meecreeps:intro2                                    | 1005 |
| meecreeps:intro3                                    | 1006 |
| meecreeps:intro4                                    | 1007 |
| meecreeps:ok                                        | 1008 |
| meecreeps:ok2                                       | 1009 |
| meecreeps:portal                                    | 1003 |
| meecreeps:teleport                                  | 1002 |
| minecraft:ambient.cave                              |    0 |
| minecraft:block.anvil.break                         |    1 |
| minecraft:block.anvil.destroy                       |    2 |
| minecraft:block.anvil.fall                          |    3 |
| minecraft:block.anvil.hit                           |    4 |
| minecraft:block.anvil.land                          |    5 |
| minecraft:block.anvil.place                         |    6 |
| minecraft:block.anvil.step                          |    7 |
| minecraft:block.anvil.use                           |    8 |
| minecraft:block.brewing_stand.brew                  |    9 |
| minecraft:block.chest.close                         |   10 |
| minecraft:block.chest.locked                        |   11 |
| minecraft:block.chest.open                          |   12 |
| minecraft:block.chorus_flower.death                 |   13 |
| minecraft:block.chorus_flower.grow                  |   14 |
| minecraft:block.cloth.break                         |   15 |
| minecraft:block.cloth.fall                          |   16 |
| minecraft:block.cloth.hit                           |   17 |
| minecraft:block.cloth.place                         |   18 |
| minecraft:block.cloth.step                          |   19 |
| minecraft:block.comparator.click                    |   20 |
| minecraft:block.dispenser.dispense                  |   21 |
| minecraft:block.dispenser.fail                      |   22 |
| minecraft:block.dispenser.launch                    |   23 |
| minecraft:block.enchantment_table.use               |   24 |
| minecraft:block.end_gateway.spawn                   |   25 |
| minecraft:block.end_portal.spawn                    |   26 |
| minecraft:block.end_portal_frame.fill               |   27 |
| minecraft:block.enderchest.close                    |   28 |
| minecraft:block.enderchest.open                     |   29 |
| minecraft:block.fence_gate.close                    |   30 |
| minecraft:block.fence_gate.open                     |   31 |
| minecraft:block.fire.ambient                        |   32 |
| minecraft:block.fire.extinguish                     |   33 |
| minecraft:block.furnace.fire_crackle                |   34 |
| minecraft:block.glass.break                         |   35 |
| minecraft:block.glass.fall                          |   36 |
| minecraft:block.glass.hit                           |   37 |
| minecraft:block.glass.place                         |   38 |
| minecraft:block.glass.step                          |   39 |
| minecraft:block.grass.break                         |   40 |
| minecraft:block.grass.fall                          |   41 |
| minecraft:block.grass.hit                           |   42 |
| minecraft:block.grass.place                         |   43 |
| minecraft:block.grass.step                          |   44 |
| minecraft:block.gravel.break                        |   45 |
| minecraft:block.gravel.fall                         |   46 |
| minecraft:block.gravel.hit                          |   47 |
| minecraft:block.gravel.place                        |   48 |
| minecraft:block.gravel.step                         |   49 |
| minecraft:block.iron_door.close                     |   50 |
| minecraft:block.iron_door.open                      |   51 |
| minecraft:block.iron_trapdoor.close                 |   52 |
| minecraft:block.iron_trapdoor.open                  |   53 |
| minecraft:block.ladder.break                        |   54 |
| minecraft:block.ladder.fall                         |   55 |
| minecraft:block.ladder.hit                          |   56 |
| minecraft:block.ladder.place                        |   57 |
| minecraft:block.ladder.step                         |   58 |
| minecraft:block.lava.ambient                        |   59 |
| minecraft:block.lava.extinguish                     |   60 |
| minecraft:block.lava.pop                            |   61 |
| minecraft:block.lever.click                         |   62 |
| minecraft:block.metal.break                         |   63 |
| minecraft:block.metal.fall                          |   64 |
| minecraft:block.metal.hit                           |   65 |
| minecraft:block.metal.place                         |   66 |
| minecraft:block.metal.step                          |   67 |
| minecraft:block.metal_pressureplate.click_off       |   68 |
| minecraft:block.metal_pressureplate.click_on        |   69 |
| minecraft:block.note.basedrum                       |   70 |
| minecraft:block.note.bass                           |   71 |
| minecraft:block.note.bell                           |   72 |
| minecraft:block.note.chime                          |   73 |
| minecraft:block.note.flute                          |   74 |
| minecraft:block.note.guitar                         |   75 |
| minecraft:block.note.harp                           |   76 |
| minecraft:block.note.hat                            |   77 |
| minecraft:block.note.pling                          |   78 |
| minecraft:block.note.snare                          |   79 |
| minecraft:block.note.xylophone                      |   80 |
| minecraft:block.piston.contract                     |   81 |
| minecraft:block.piston.extend                       |   82 |
| minecraft:block.portal.ambient                      |   83 |
| minecraft:block.portal.travel                       |   84 |
| minecraft:block.portal.trigger                      |   85 |
| minecraft:block.redstone_torch.burnout              |   86 |
| minecraft:block.sand.break                          |   87 |
| minecraft:block.sand.fall                           |   88 |
| minecraft:block.sand.hit                            |   89 |
| minecraft:block.sand.place                          |   90 |
| minecraft:block.sand.step                           |   91 |
| minecraft:block.shulker_box.close                   |   92 |
| minecraft:block.shulker_box.open                    |   93 |
