"Mod name","Registry name","Hardness","Resistance"
"Aether II","aether:icestone_bricks_decorative",2.00,30.00
"Aether II","aether:icestone_cooler",2.50,12.50
"Aether II","aether:icestone_ore",3.00,15.00
"Aether II","aether:icestone_pillar",2.00,10.00
"Aether II","aether:icestone_slab",3.00,15.00
"Aether II","aether:icestone_wall",3.00,15.00
"Aether II","aether:incubator",2.50,12.50
"Aether II","aether:light_skyroot_beam",2.00,10.00
"Aether II","aether:light_skyroot_decorative",2.00,10.00
"Aether II","aether:light_skyroot_log",2.00,10.00
"Aether II","aether:light_skyroot_planks",2.00,10.00
"Aether II","aether:masonry_bench",2.50,12.50
"Aether II","aether:moa_egg",0.10,0.50
"Aether II","aether:mossy_holystone_slab",2.00,10.00
"Aether II","aether:mossy_holystone_stairs",2.00,30.00
"Aether II","aether:mossy_holystone_wall",1.00,10.00
"Aether II","aether:multiblock_dummy",-1.00,18000000.00
"Aether II","aether:multiblock_dummy_half",-1.00,18000000.00
"Aether II","aether:mutant_leaves",0.20,1.00
"Aether II","aether:mutant_leaves_decorated",0.20,1.00
"Aether II","aether:orange_tree",1.00,5.00
"Aether II","aether:outpost_campfire",-1.00,0.00
"Aether II","aether:plumproot",1.00,5.00
"Aether II","aether:present",0.40,2.00
"Aether II","aether:quicksoil",1.50,7.50
"Aether II","aether:quicksoil_glass",1.00,6000.00
"Aether II","aether:quicksoil_glass_decorative",1.00,6000.00
"Aether II","aether:quicksoil_glass_pane",0.30,1.50
"Aether II","aether:quicksoil_glass_pane_decorative",1.00,6000.00
"Aether II","aether:rusted_ferrosite",1.50,7.50
"Aether II","aether:scatterglass",1.00,6000.00
"Aether II","aether:scatterglass_decorative",1.00,6000.00
"Aether II","aether:scatterglass_pane",0.30,1.50
"Aether II","aether:scatterglass_pane_decorative",1.00,6000.00
"Aether II","aether:scatterglass_slab",1.00,5.00
"Aether II","aether:scatterglass_stairs",1.00,6000.00
"Aether II","aether:scatterglass_wall",1.00,10.00
"Aether II","aether:secret_skyroot_door",3.00,15.00
"Aether II","aether:secret_skyroot_trapdoor",3.00,15.00
"Aether II","aether:sentrystone_brick",2.00,10.00
"Aether II","aether:sentrystone_brick_decorative",2.00,30.00
"Aether II","aether:sentrystone_brick_decorative_lit",2.00,30.00
"Aether II","aether:sentrystone_pillar",2.00,10.00
"Aether II","aether:sentrystone_pillar_lit",2.00,10.00
"Aether II","aether:skyroot_beam",2.00,10.00
"Aether II","aether:skyroot_bed",0.20,1.00
"Aether II","aether:skyroot_bookshelf",2.00,10.00
"Aether II","aether:skyroot_button",0.50,2.50
"Aether II","aether:skyroot_chest",2.50,12.50
"Aether II","aether:skyroot_decorative",2.00,10.00
"Aether II","aether:skyroot_door",3.00,15.00
"Aether II","aether:skyroot_fence",2.00,15.00
"Aether II","aether:skyroot_fence_gate",2.00,15.00
"Aether II","aether:skyroot_ladder",0.40,2.00
"Aether II","aether:skyroot_log",2.00,10.00
"Aether II","aether:skyroot_log_wall",2.00,10.00
"Aether II","aether:skyroot_planks",2.00,10.00
"Aether II","aether:skyroot_pressure_plate",0.50,2.50
"Aether II","aether:skyroot_slab",2.00,10.00
"Aether II","aether:skyroot_stairs",2.00,10.00
"Aether II","aether:skyroot_trapdoor",3.00,15.00
"Aether II","aether:skyroot_twigs",0.00,0.00
"Aether II","aether:standing_skyroot_sign",1.00,5.00
"Aether II","aether:tall_aether_grass",0.00,0.00
"Aether II","aether:thera_dirt",0.50,2.50
"Aether II","aether:thera_grass",0.50,2.50
"Aether II","aether:therastone_brick",2.00,10.00
"Aether II","aether:therastone_brick_decorative",2.00,30.00
"Aether II","aether:therastone_brick_slab",2.00,10.00
"Aether II","aether:therastone_brick_stairs",2.00,10.00
"Aether II","aether:therastone_pillar",2.00,10.00
"Aether II","aether:therawood_beam",2.00,10.00
"Aether II","aether:therawood_decorative",2.00,10.00
"Aether II","aether:therawood_leaves",0.20,1.00
"Aether II","aether:therawood_log",2.00,10.00
"Aether II","aether:therawood_planks",2.00,10.00
"Aether II","aether:therawood_slab",2.00,10.00
"Aether II","aether:therawood_stairs",2.00,10.00
"Aether II","aether:valkyrie_grass",0.00,0.00
"Aether II","aether:wall_skyroot_sign",1.00,5.00
"Aether II","aether:wildcard",2.50,12.50
"Aether II","aether:wisproot_button",0.50,2.50
"Aether II","aether:wisproot_fence",2.00,15.00
"Aether II","aether:wisproot_fence_gate",2.00,15.00
"Aether II","aether:wisproot_pressure_plate",0.50,2.50
"Aether II","aether:wisproot_slab",2.00,10.00
"Aether II","aether:wisproot_stairs",2.00,10.00
"Aether II","aether:woven_sticks",0.50,2.50
"Aether II","aether:zanite_block",5.00,25.00
"Aether II","aether:zanite_ore",3.00,15.00
"Angel of Vengeance","aov:angelicstatue",7.00,35.00
"Angel of Vengeance","aov:astrostatue",7.00,35.00
"Angel of Vengeance","aov:clericstatue",7.00,35.00
"Angel of Vengeance","aov:druidstatue",7.00,35.00
"Angel of Vengeance","aov:favoredsoulstatue",7.00,35.00
"Angel of Vengeance","aov:paladinstatue",7.00,35.00
"Animus","animus:blockantimatter",0.00,0.00
"Animus","animus:blockbloodcore",10.00,50.00
"Animus","animus:blockbloodsapling",0.00,0.00
"Animus","animus:blockbloodwood",0.00,0.00
"Animus","animus:blockfluidantimatter",0.00,0.00
"Animus","animus:blockfluiddirt",0.00,0.00
"Animus","animus:blockphantombuilder",0.00,0.00
"Arcane Archives","arcanearchives:accessorblock",0.00,0.00
"Arcane Archives","arcanearchives:dominion_crystal",0.00,0.00
"Arcane Archives","arcanearchives:gemcutters_table",0.00,0.00
"Arcane Archives","arcanearchives:matrix_crystal_core",0.00,0.00
"Arcane Archives","arcanearchives:matrix_distillate",0.00,0.00
"Arcane Archives","arcanearchives:matrix_repository",0.00,0.00
"Arcane Archives","arcanearchives:matrix_reservoir",0.00,0.00
"Arcane Archives","arcanearchives:matrix_storage",0.00,0.00
"Arcane Archives","arcanearchives:radiant_chest",1.70,18000.00
"Arcane Archives","arcanearchives:radiant_crafting_table",1.70,8.50
"Arcane Archives","arcanearchives:radiant_lantern",0.30,1.50
"Arcane Archives","arcanearchives:radiant_resonator",1.10,5.50
"Arcane Archives","arcanearchives:raw_quartz",1.40,7.00
"Arcane Archives","arcanearchives:storage_cut_quartz",1.70,8.50
"Arcane Archives","arcanearchives:storage_raw_quartz",1.70,8.50
"Arcane World","arcaneworld:block_amethyst",3.00,15.00
"Arcane World","arcaneworld:block_sapphire",3.00,15.00
"Arcane World","arcaneworld:levitator",3.00,15.00
"Arcane World","arcaneworld:ore_amethyst",3.00,15.00
"Arcane World","arcaneworld:ore_amethyst_nether",3.00,15.00
"Arcane World","arcaneworld:ore_sapphire",3.00,15.00
"Arcane World","arcaneworld:return_portal",-1.00,0.00
"Arcane World","arcaneworld:ritual_table",3.00,15.00
"ArchitectureCraft","architecturecraft:sawbench",2.00,10.00
"ArchitectureCraft","architecturecraft:shape",0.00,0.00
"Astral Sorcery","astralsorcery:blockaltar",3.00,75.00
"Astral Sorcery","astralsorcery:blockattunementaltar",3.00,75.00
"Astral Sorcery","astralsorcery:blockattunementrelay",0.50,3.00
"Astral Sorcery","astralsorcery:blockblackmarble",1.00,9.00
"Astral Sorcery","astralsorcery:blockbore",3.00,75.00
"Astral Sorcery","astralsorcery:blockborehead",10.00,45.00
"Astral Sorcery","astralsorcery:blockcelestialcollectorcrystal",-1.00,600000.00
"Astral Sorcery","astralsorcery:blockcelestialcrystals",2.00,90.00
"Astral Sorcery","astralsorcery:blockcelestialgateway",4.00,120.00
"Astral Sorcery","astralsorcery:blockchalice",2.00,45.00
"Astral Sorcery","astralsorcery:blockcollectorcrystal",-1.00,600000.00
"Astral Sorcery","astralsorcery:blockcustomflower",0.00,0.00
"Astral Sorcery","astralsorcery:blockcustomore",3.00,75.00
"Astral Sorcery","astralsorcery:blockcustomsandore",0.50,2.50
"Astral Sorcery","astralsorcery:blockfaketree",-1.00,18000004.00
"Astral Sorcery","astralsorcery:blockflarelight",-1.00,0.00
"Astral Sorcery","astralsorcery:blockgemcrystals",2.00,60.00
"Astral Sorcery","astralsorcery:blockinfusedwood",1.00,9.00
"Astral Sorcery","astralsorcery:blocklens",3.00,36.00
"Astral Sorcery","astralsorcery:blockmachine",3.00,75.00
"Astral Sorcery","astralsorcery:blockmapdrawingtable",2.00,45.00
"Astral Sorcery","astralsorcery:blockmarble",1.00,9.00
"Astral Sorcery","astralsorcery:blockmarbledoubleslab",1.00,9.00
"Astral Sorcery","astralsorcery:blockmarbleslab",1.00,9.00
"Astral Sorcery","astralsorcery:blockmarblestairs",1.00,9.00
"Astral Sorcery","astralsorcery:blockobservatory",3.50,9.00
"Astral Sorcery","astralsorcery:blockportalnode",-1.00,18000004.00
"Astral Sorcery","astralsorcery:blockprism",3.00,36.00
"Astral Sorcery","astralsorcery:blockrituallink",3.00,75.00
"Astral Sorcery","astralsorcery:blockritualpedestal",3.00,75.00
"Astral Sorcery","astralsorcery:blockstarlightinfuser",1.00,30.00
"Astral Sorcery","astralsorcery:blockstructural",-1.00,0.00
"Astral Sorcery","astralsorcery:blocktranslucentblock",-1.00,18000004.00
"Astral Sorcery","astralsorcery:blocktreebeacon",1.00,30.00
"Astral Sorcery","astralsorcery:blockvanishing",-1.00,0.00
"Astral Sorcery","astralsorcery:blockwell",3.00,75.00
"Astral Sorcery","astralsorcery:blockworldilluminator",3.00,75.00
"Astral Sorcery","astralsorcery:fluidblockliquidstarlight",0.00,0.00
"Auraddons","auraddons:block_ancient_fence",2.00,15.00
"Auraddons","auraddons:block_ancient_fence_gate",2.00,15.00
"Auraddons","auraddons:block_ancient_ladder",0.40,2.00
"Auraddons","auraddons:block_aura_transporter",2.00,15.00
"Auraddons","auraddons:block_auto_wrath",2.00,15.00
"Auraddons","auraddons:block_disruption_catalyst",2.00,15.00
"Auraddons","auraddons:block_freezer",2.00,15.00
"Auraddons","auraddons:block_hard_ice",0.00,0.00
"Auraddons","auraddons:block_infused_brick_wall",2.00,30.00
"Auraddons","auraddons:block_infused_stone_wall",2.00,30.00
"Auraddons","auraddons:block_potion_enhancer",2.00,15.00
"Auraddons","auraddons:block_rainbow_beacon",2.00,15.00
"Auraddons","auraddons:block_wither_proofer",2.00,15.00
"Better Questing","betterquesting:submit_station",1.00,5.00
"BiblioCraft","bibliocraft:armorstand",0.00,0.00
"BiblioCraft","bibliocraft:bell",0.00,0.00
"BiblioCraft","bibliocraft:bookcase",0.00,0.00
"BiblioCraft","bibliocraft:bookcasecreative",0.00,0.00
"BiblioCraft","bibliocraft:case",0.00,0.00
"BiblioCraft","bibliocraft:clipboard",0.00,0.00
"BiblioCraft","bibliocraft:clock",0.00,0.00
"BiblioCraft","bibliocraft:cookiejar",0.00,0.00
"BiblioCraft","bibliocraft:desk",0.00,0.00
"BiblioCraft","bibliocraft:dinnerplate",0.00,0.00
"BiblioCraft","bibliocraft:discrack",0.00,0.00
"BiblioCraft","bibliocraft:fancysign",0.00,0.00
"BiblioCraft","bibliocraft:fancyworkbench",0.00,0.00
"BiblioCraft","bibliocraft:framedchest",0.00,0.00
"BiblioCraft","bibliocraft:furniturepaneler",0.00,0.00
"BiblioCraft","bibliocraft:label",0.00,0.00
"BiblioCraft","bibliocraft:lampgold",0.00,0.00
"BiblioCraft","bibliocraft:lampiron",0.00,0.00
"BiblioCraft","bibliocraft:lanterngold",0.00,0.00
"BiblioCraft","bibliocraft:lanterniron",0.00,0.00
"BiblioCraft","bibliocraft:mapframe",0.00,0.00
"BiblioCraft","bibliocraft:markerpole",0.00,0.00
"BiblioCraft","bibliocraft:paintingframeborderless",0.00,0.00
"BiblioCraft","bibliocraft:paintingframefancy",0.00,0.00
"BiblioCraft","bibliocraft:paintingframeflat",0.00,0.00
"BiblioCraft","bibliocraft:paintingframemiddle",0.00,0.00
"BiblioCraft","bibliocraft:paintingframesimple",0.00,0.00
"BiblioCraft","bibliocraft:paintingpress",0.00,0.00
"BiblioCraft","bibliocraft:potionshelf",0.00,0.00
"BiblioCraft","bibliocraft:printingpress",0.00,0.00
"BiblioCraft","bibliocraft:seat",0.00,0.00
"BiblioCraft","bibliocraft:shelf",0.00,0.00
"BiblioCraft","bibliocraft:swordpedestal",0.00,0.00
"BiblioCraft","bibliocraft:table",0.00,0.00
"BiblioCraft","bibliocraft:toolrack",0.00,0.00
"BiblioCraft","bibliocraft:typesettingtable",0.00,0.00
"BiblioCraft","bibliocraft:typewriter",0.00,0.00
"Blockcraftery","blockcraftery:editable_block",1.00,5.00
"Blockcraftery","blockcraftery:editable_double_slab",1.00,5.00
"Blockcraftery","blockcraftery:editable_fence",1.00,5.00
"Blockcraftery","blockcraftery:editable_inner_corner",1.00,5.00
"Blockcraftery","blockcraftery:editable_outer_corner",1.00,5.00
"Blockcraftery","blockcraftery:editable_slab",1.00,5.00
"Blockcraftery","blockcraftery:editable_slant",1.00,5.00
"Blockcraftery","blockcraftery:editable_stairs",1.00,5.00
"Blockcraftery","blockcraftery:editable_wall",1.00,5.00
"Blood Magic: Alchemical Wizardry","bloodmagic:alchemy_array",0.10,0.50
"Blood Magic: Alchemical Wizardry","bloodmagic:alchemy_table",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:altar",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:blood_light",0.00,0.00
"Blood Magic: Alchemical Wizardry","bloodmagic:blood_rune",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:blood_tank",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:decorative_brick",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_brick_1",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_brick_2",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_crucible",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_crystal",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_crystallizer",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_extras",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_light",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pillar_1",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pillar_2",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pillar_cap_1",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pillar_cap_2",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pillar_cap_3",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_pylon",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_stairs_1",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_stairs_2",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_stairs_3",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:demon_wall_1",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:dimensional_portal",-1.00,6000.00
"Blood Magic: Alchemical Wizardry","bloodmagic:incense_altar",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:input_routing_node",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:inversion_pillar",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:inversion_pillar_end",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:item_routing_node",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:life_essence",0.00,0.00
"Blood Magic: Alchemical Wizardry","bloodmagic:master_routing_node",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:mimic",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:output_routing_node",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:path",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:phantom",0.00,0.00
"Blood Magic: Alchemical Wizardry","bloodmagic:ritual_controller",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:ritual_stone",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:soul_forge",2.00,15.00
"Blood Magic: Alchemical Wizardry","bloodmagic:spectral",0.00,0.00
"Blood Magic: Alchemical Wizardry","bloodmagic:teleposer",2.00,15.00
"Botania","botania:alchemycatalyst",2.00,30.00
"Botania","botania:alfheimportal",10.00,50.00
"Botania","botania:altar",3.50,17.50
"Botania","botania:altgrass",0.60,3.00
"Botania","botania:animatedtorch",0.00,0.00
"Botania","botania:avatar",2.00,10.00
"Botania","botania:bellows",2.00,10.00
"Botania","botania:bifrost",-1.00,0.00
"Botania","botania:bifrostperm",0.30,1.50
"Botania","botania:bifrostpermpane",0.30,1.50
"Botania","botania:biomestonea",1.50,30.00
"Botania","botania:biomestonea0slab",1.50,30.00
"Botania","botania:biomestonea0slabfull",1.50,30.00
"Botania","botania:biomestonea0stairs",1.50,30.00
"Botania","botania:biomestonea0wall",1.50,30.00
"Botania","botania:biomestonea10slab",1.50,30.00
"Botania","botania:biomestonea10slabfull",1.50,30.00
"Botania","botania:biomestonea10stairs",1.50,30.00
"Botania","botania:biomestonea11slab",1.50,30.00
"Botania","botania:biomestonea11slabfull",1.50,30.00
"Botania","botania:biomestonea11stairs",1.50,30.00
"Botania","botania:biomestonea12slab",1.50,30.00
"Botania","botania:biomestonea12slabfull",1.50,30.00
"Botania","botania:biomestonea12stairs",1.50,30.00
"Botania","botania:biomestonea13slab",1.50,30.00
"Botania","botania:biomestonea13slabfull",1.50,30.00
"Botania","botania:biomestonea13stairs",1.50,30.00
"Botania","botania:biomestonea14slab",1.50,30.00
"Botania","botania:biomestonea14slabfull",1.50,30.00
"Botania","botania:biomestonea14stairs",1.50,30.00
"Botania","botania:biomestonea15slab",1.50,30.00
"Botania","botania:biomestonea15slabfull",1.50,30.00
"Botania","botania:biomestonea15stairs",1.50,30.00
"Botania","botania:biomestonea1slab",1.50,30.00
"Botania","botania:biomestonea1slabfull",1.50,30.00
"Botania","botania:biomestonea1stairs",1.50,30.00
"Botania","botania:biomestonea2slab",1.50,30.00
"Botania","botania:biomestonea2slabfull",1.50,30.00
"Botania","botania:biomestonea2stairs",1.50,30.00
"Botania","botania:biomestonea3slab",1.50,30.00
"Botania","botania:biomestonea3slabfull",1.50,30.00
"Botania","botania:biomestonea3stairs",1.50,30.00
"Botania","botania:biomestonea4slab",1.50,30.00
"Botania","botania:biomestonea4slabfull",1.50,30.00
"Botania","botania:biomestonea4stairs",1.50,30.00
"Botania","botania:biomestonea5slab",1.50,30.00
"Botania","botania:biomestonea5slabfull",1.50,30.00
"Botania","botania:biomestonea5stairs",1.50,30.00
"Botania","botania:biomestonea6slab",1.50,30.00
"Botania","botania:biomestonea6slabfull",1.50,30.00
"Botania","botania:biomestonea6stairs",1.50,30.00
"Botania","botania:biomestonea7slab",1.50,30.00
"Botania","botania:biomestonea7slabfull",1.50,30.00
"Botania","botania:biomestonea7stairs",1.50,30.00
"Botania","botania:biomestonea8slab",1.50,30.00
"Botania","botania:biomestonea8slabfull",1.50,30.00
"Botania","botania:biomestonea8stairs",1.50,30.00
"Botania","botania:biomestonea9slab",1.50,30.00
"Botania","botania:biomestonea9slabfull",1.50,30.00
"Botania","botania:biomestonea9stairs",1.50,30.00
"Botania","botania:biomestoneb",1.50,30.00
"Botania","botania:biomestoneb0slab",1.50,30.00
"Botania","botania:biomestoneb0slabfull",1.50,30.00
"Botania","botania:biomestoneb0stairs",1.50,30.00
"Botania","botania:biomestoneb1slab",1.50,30.00
"Botania","botania:biomestoneb1slabfull",1.50,30.00
"Botania","botania:biomestoneb1stairs",1.50,30.00
"Botania","botania:biomestoneb2slab",1.50,30.00
"Botania","botania:biomestoneb2slabfull",1.50,30.00
"Botania","botania:biomestoneb2stairs",1.50,30.00
"Botania","botania:biomestoneb3slab",1.50,30.00
"Botania","botania:biomestoneb3slabfull",1.50,30.00
"Botania","botania:biomestoneb3stairs",1.50,30.00
"Botania","botania:biomestoneb4slab",1.50,30.00
"Botania","botania:biomestoneb4slabfull",1.50,30.00
"Botania","botania:biomestoneb4stairs",1.50,30.00
"Botania","botania:biomestoneb5slab",1.50,30.00
"Botania","botania:biomestoneb5slabfull",1.50,30.00
"Botania","botania:biomestoneb5stairs",1.50,30.00
"Botania","botania:biomestoneb6slab",1.50,30.00
"Botania","botania:biomestoneb6slabfull",1.50,30.00
"Botania","botania:biomestoneb6stairs",1.50,30.00
"Botania","botania:biomestoneb7slab",1.50,30.00
"Botania","botania:biomestoneb7slabfull",1.50,30.00
"Botania","botania:biomestoneb7stairs",1.50,30.00
"Botania","botania:blazeblock",3.00,30.00
"Botania","botania:brewery",2.00,30.00
"Botania","botania:buriedpetals",0.00,0.00
"Botania","botania:cacophoniumblock",0.80,4.00
"Botania","botania:cellblock",0.00,0.00
"Botania","botania:cocoon",3.00,150.00
"Botania","botania:conjurationcatalyst",2.00,30.00
"Botania","botania:corporeacrystalcube",5.50,27.50
"Botania","botania:corporeafunnel",5.50,27.50
"Botania","botania:corporeaindex",5.50,27.50
"Botania","botania:corporeainterceptor",5.50,27.50
"Botania","botania:corporearetainer",5.50,27.50
"Botania","botania:custombrick",2.00,15.00
"Botania","botania:distributor",2.00,30.00
"Botania","botania:doubleflower1",0.00,0.00
"Botania","botania:doubleflower2",0.00,0.00
"Botania","botania:dreamwood",2.00,10.00
"Botania","botania:dreamwood0slab",2.00,10.00
"Botania","botania:dreamwood0slabfull",2.00,10.00
"Botania","botania:dreamwood0stairs",2.00,10.00
"Botania","botania:dreamwood0wall",2.00,10.00
"Botania","botania:dreamwood1slab",2.00,10.00
"Botania","botania:dreamwood1slabfull",2.00,10.00
"Botania","botania:dreamwood1stairs",2.00,10.00
"Botania","botania:elfglass",0.30,1.50
"Botania","botania:elfglasspane",0.30,1.50
"Botania","botania:enchantedsoil",0.60,3.00
"Botania","botania:enchanter",3.00,15.00
"Botania","botania:endereyeblock",3.00,30.00
"Botania","botania:fakeair",0.00,0.00
"Botania","botania:felpumpkin",1.00,5.00
"Botania","botania:floatingspecialflower",0.50,2.50
"Botania","botania:flower",0.00,0.00
"Botania","botania:forestdrum",2.00,10.00
"Botania","botania:foresteye",5.00,30.00
"Botania","botania:gaiaheadblock",1.00,5.00
"Botania","botania:ghostrail",0.00,0.00
"Botania","botania:hourglass",2.00,10.00
"Botania","botania:incenseplate",2.00,10.00
"Botania","botania:lightlauncher",2.00,10.00
"Botania","botania:lightrelay",0.00,0.00
"Botania","botania:livingrock",2.00,30.00
"Botania","botania:livingrock0slab",2.00,30.00
"Botania","botania:livingrock0slabfull",2.00,30.00
"Botania","botania:livingrock0stairs",2.00,30.00
"Botania","botania:livingrock0wall",2.00,30.00
"Botania","botania:livingrock1slab",2.00,30.00
"Botania","botania:livingrock1slabfull",2.00,30.00
"Botania","botania:livingrock1stairs",2.00,30.00
"Botania","botania:livingwood",2.00,10.00
"Botania","botania:livingwood0slab",2.00,10.00
"Botania","botania:livingwood0slabfull",2.00,10.00
