+----------------------------------+-----------------------------------------------------------+--------------------------------+-----+
| Mod name                         | Registry name                                             | Entity class name              |  ID |
| Arcane Essentials                | arcane_essentials:lightningspawner                        | EntityLightningSpawner         |  12 |
| Arcane Essentials                | arcane_essentials:lightningvortex                         | EntityLightningVortex          |   5 |
| Arcane Essentials                | arcane_essentials:magicbolt                               | EntityMagicBolt                |   2 |
| Arcane Essentials                | arcane_essentials:magicconstruct                          | EntityMagicConstruct           |   1 |
| Arcane Essentials                | arcane_essentials:magiclightning                          | EntityMagicLightning           |  10 |
| Arcane Essentials                | arcane_essentials:magicspawner                            | EntityMagicSpawner             |   3 |
| Arcane Essentials                | arcane_essentials:solarbeam                               | EntitySolarBeam                |   9 |
| Arcane Essentials                | arcane_essentials:thunderburst                            | EntityThunderBurst             |   4 |
| Arcane Essentials                | arcane_essentials:waterball                               | EntityWaterBall                |  18 |
| Arcane Essentials                | arcane_essentials:whirlpool                               | EntityWhirlpool                |   7 |
| Arcane World                     | arcaneworld:overgrown_sheep                               | EntityOvergrownSheep           |   1 |
| Arcane World                     | arcaneworld:rift                                          | EntityRift                     |   0 |
| Artifacts                        | artifacts:hallow_star                                     | EntityHallowStar               |   1 |
| Artifacts                        | artifacts:mimic                                           | EntityMimic                    |   0 |
| Astral Sorcery                   | astralsorcery:entitycrystal                               | EntityCrystal                  |   2 |
| Astral Sorcery                   | astralsorcery:entitycrystaltool                           | EntityCrystalTool              |   7 |
| Astral Sorcery                   | astralsorcery:entityflare                                 | EntityFlare                    |   3 |
| Astral Sorcery                   | astralsorcery:entitygrapplinghook                         | EntityGrapplingHook            |   8 |
| Astral Sorcery                   | astralsorcery:entityhighlighted                           | EntityItemHighlighted          |   0 |
| Astral Sorcery                   | astralsorcery:entityilluminationspark                     | EntityIlluminationSpark        |   5 |
| Astral Sorcery                   | astralsorcery:entityitemdamageresistant                   | EntityItemExplosionResistant   |  13 |
| Astral Sorcery                   | astralsorcery:entityliquidspark                           | EntityLiquidSpark              |  10 |
| Astral Sorcery                   | astralsorcery:entitynocturnalspark                        | EntityNocturnalSpark           |   6 |
| Astral Sorcery                   | astralsorcery:entityobservatoryhelper                     | EntityObservatoryHelper        |  11 |
| Astral Sorcery                   | astralsorcery:entityshootingstar                          | EntityShootingStar             |  12 |
| Astral Sorcery                   | astralsorcery:entityspectraltool                          | EntitySpectralTool             |   9 |
| Astral Sorcery                   | astralsorcery:entitystarburst                             | EntityStarburst                |   4 |
| Astral Sorcery                   | astralsorcery:entitystardust                              | EntityItemStardust             |   1 |
| Bewitchment                      | bewitchment:bafometyr                                     | EntityBafometyr                |  18 |
| Bewitchment                      | bewitchment:baphomet                                      | EntityBaphomet                 |  22 |
| Bewitchment                      | bewitchment:black_dog                                     | EntityBlackDog                 |   9 |
| Bewitchment                      | bewitchment:cambion                                       | EntityCambion                  |  20 |
| Bewitchment                      | bewitchment:cleaver                                       | EntityCleaver                  |  14 |
| Bewitchment                      | bewitchment:cypress_broom                                 | EntityCypressBroom             |   0 |
| Bewitchment                      | bewitchment:demon                                         | EntityDemon                    |  15 |
| Bewitchment                      | bewitchment:demoness                                      | EntityDemoness                 |  16 |
| Bewitchment                      | bewitchment:dragons_blood_broom                           | EntityDragonsBloodBroom        |   3 |
| Bewitchment                      | bewitchment:druden                                        | EntityDruden                   |  21 |
| Bewitchment                      | bewitchment:elder_broom                                   | EntityElderBroom               |   1 |
| Bewitchment                      | bewitchment:feuerwurm                                     | EntityFeuerwurm                |  12 |
| Bewitchment                      | bewitchment:ghost                                         | EntityGhost                    |  10 |
| Bewitchment                      | bewitchment:hellhound                                     | EntityHellhound                |  11 |
| Bewitchment                      | bewitchment:imp                                           | EntityImp                      |  17 |
| Bewitchment                      | bewitchment:juniper_broom                                 | EntityJuniperBroom             |   2 |
| Bewitchment                      | bewitchment:leonard                                       | EntityLeonard                  |  23 |
| Bewitchment                      | bewitchment:lizard                                        | EntityLizard                   |   4 |
| Bewitchment                      | bewitchment:owl                                           | EntityOwl                      |   5 |
| Bewitchment                      | bewitchment:raven                                         | EntityRaven                    |   6 |
| Bewitchment                      | bewitchment:shadow_person                                 | EntityShadowPerson             |  19 |
| Bewitchment                      | bewitchment:silver_arrow                                  | EntitySilverArrow              |  24 |
| Bewitchment                      | bewitchment:snake                                         | EntitySnake                    |   7 |
| Bewitchment                      | bewitchment:toad                                          | EntityToad                     |   8 |
| Bewitchment                      | bewitchment:werewolf                                      | EntityWerewolf                 |  13 |
| Blood Magic: Alchemical Wizardry | bloodmagic:blood_light                                    | EntityBloodLight               |   1 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_chicken                              | EntityCorruptedChicken         |   9 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_sheep                                | EntityCorruptedSheep           |   8 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_spider                               | EntityCorruptedSpider          |  10 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_zombie                               | EntityCorruptedZombie          |   7 |
| Blood Magic: Alchemical Wizardry | bloodmagic:meteor                                         | EntityMeteor                   |   4 |
| Blood Magic: Alchemical Wizardry | bloodmagic:mimic                                          | EntityMimic                    |   6 |
| Blood Magic: Alchemical Wizardry | bloodmagic:sentient_specter                               | EntitySentientSpecter          |   5 |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_arrow                                     | EntitySentientArrow            |   3 |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_snare                                     | EntitySoulSnare                |   2 |
| Blue Skies                       | blue_skies:alchemist_illager                              | EntityAlchemist                |  14 |
| Blue Skies                       | blue_skies:armored_frost_spirit                           | EntityArmoredFrostSpirit       |   3 |
| Blue Skies                       | blue_skies:artificial_golem                               | EntityArtificialGolem          |  15 |
| Blue Skies                       | blue_skies:azulfo                                         | EntityAzulfo                   |   0 |
| Blue Skies                       | blue_skies:cosmic_fox                                     | EntityCosmicFox                |   6 |
| Blue Skies                       | blue_skies:cryno                                          | EntityCryno                    |   4 |
| Blue Skies                       | blue_skies:crystal_camel                                  | EntityCrystalCamel             |   9 |
| Blue Skies                       | blue_skies:decaying_falling_block                         | EntityDecayingFallingBlock     |  16 |
| Blue Skies                       | blue_skies:firefly_bs                                     | EntityFirefly                  |   7 |
| Blue Skies                       | blue_skies:frost_spirit                                   | EntityFrostSpirit              |   5 |
| Blue Skies                       | blue_skies:nightshade_bear                                | EntityNightshadeBear           |   8 |
| Blue Skies                       | blue_skies:nycto_bug                                      | EntityNyctoBug                 |  10 |
| Blue Skies                       | blue_skies:reindeer_bs                                    | EntityReindeer                 |   2 |
| Blue Skies                       | blue_skies:stardust_ram                                   | EntityStardustRam              |   1 |
| Blue Skies                       | blue_skies:summoner_illager                               | EntitySummoner                 |  13 |
| Blue Skies                       | blue_skies:summoner_lightning                             | EntitySummonedLightningBolt    |  19 |
| Blue Skies                       | blue_skies:upward_spike                                   | EntityUpwardSpike              |  17 |
| Blue Skies                       | blue_skies:venom_spider                                   | EntityVenomSpider              |  11 |
| Blue Skies                       | blue_skies:venom_spit                                     | EntityVenomSpit                |  18 |
| Blue Skies                       | blue_skies:villager_warrior                               | EntityVillagerWarrior          |  12 |
| Botania                          | botania:babylon_weapon                                    | EntityBabylonWeapon            |  17 |
| Botania                          | botania:corporea_spark                                    | EntityCorporeaSpark            |  11 |
| Botania                          | botania:doppleganger                                      | EntityDoppleganger             |   5 |
| Botania                          | botania:ender_air_bottle                                  | EntityEnderAirBottle           |  12 |
| Botania                          | botania:falling_star                                      | EntityFallingStar              |  18 |
| Botania                          | botania:flame_ring                                        | EntityFlameRing                |   3 |
| Botania                          | botania:magic_landmine                                    | EntityMagicLandmine            |   6 |
| Botania                          | botania:magic_missile                                     | EntityMagicMissile             |   9 |
| Botania                          | botania:mana_burst                                        | EntityManaBurst                |   0 |
| Botania                          | botania:mana_storm                                        | EntityManaStorm                |  16 |
| Botania                          | botania:pink_wither                                       | EntityPinkWither               |  14 |
| Botania                          | botania:pixie                                             | EntityPixie                    |   2 |
| Botania                          | botania:player_mover                                      | EntityPlayerMover              |  15 |
| Botania                          | botania:pool_minecart                                     | EntityPoolMinecart             |  13 |
| Botania                          | botania:signal_flare                                      | EntitySignalFlare              |   1 |
| Botania                          | botania:spark                                             | EntitySpark                    |   7 |
| Botania                          | botania:thorn_chakram                                     | EntityThornChakram             |  10 |
| Botania                          | botania:thrown_item                                       | EntityThrownItem               |   8 |
| Botania                          | botania:vine_ball                                         | EntityVineBall                 |   4 |
| Building Gadgets                 | buildinggadgets:blockbuildentity                          | BlockBuildEntity               |   1 |
| Building Gadgets                 | buildinggadgets:constructionblockentity                   | ConstructionBlockEntity        |   2 |
| Comforts                         | comforts:_entity_rest                                     | EntityRest                     |   1 |
| CreativeCore                     | creativecore:sit                                          | EntitySit                      |   0 |
| Cuisine                          | cuisine:boat                                              | EntityModBoat                  |   1 |
| Dimensional Doors                | dimdoors:mob_monolith                                     | EntityMonolith                 |   0 |
| Divine Favor                     | divinefavor:entity.climbing                               | EntityClimbingArrow            |   1 |
| Divine Favor                     | divinefavor:entity.direwolf                               | EntityDirewolf                 |  13 |
| Divine Favor                     | divinefavor:entity.ice_arrow                              | EntityIceArrow                 |   4 |
| Divine Favor                     | divinefavor:entity.minion_blaze                           | EntityMinionBlaze              |   5 |
| Divine Favor                     | divinefavor:entity.minion_cave_spider                     | EntityMinionCaveSpider         |   6 |
| Divine Favor                     | divinefavor:entity.minion_creeper                         | EntityMinionCreeper            |   7 |
| Divine Favor                     | divinefavor:entity.minion_husk                            | EntityMinionHusk               |   8 |
| Divine Favor                     | divinefavor:entity.minion_skeleton                        | EntityMinionSkeleton           |   9 |
| Divine Favor                     | divinefavor:entity.minion_spider                          | EntityMinionSpider             |  10 |
| Divine Favor                     | divinefavor:entity.minion_stray                           | EntityMinionStray              |  11 |
| Divine Favor                     | divinefavor:entity.minion_zombie                          | EntityMinionZombie             |  12 |
| Divine Favor                     | divinefavor:entity.ping                                   | EntityPing                     |  21 |
| Divine Favor                     | divinefavor:entity.rope_barrier                           | EntityRopeBarrierNode          |  14 |
| Divine Favor                     | divinefavor:entity.rope_explosive                         | EntityRopeExplosiveNode        |  15 |
| Divine Favor                     | divinefavor:entity.rope_glowing                           | EntityRopeGlowingNode          |  16 |
| Divine Favor                     | divinefavor:entity.rope_guide                             | EntityRopeGuideNode            |  17 |
| Divine Favor                     | divinefavor:entity.rope_inert                             | EntityRopeInertNode            |  18 |
| Divine Favor                     | divinefavor:entity.rope_luminous                          | EntityRopeLuminousNode         |  19 |
| Divine Favor                     | divinefavor:entity.rope_teleporting                       | EntityRopeTeleportingNode      |  20 |
| Divine Favor                     | divinefavor:entity.spell_arrow                            | EntitySpellArrow               |   2 |
| Divine Favor                     | divinefavor:entity.spooky                                 | EntitySpookyArrow              |   3 |
| Divine Favor                     | divinefavor:entity.stoneball                              | EntityStoneball                |   0 |
| Dynamic Trees                    | dynamictrees:falling_tree                                 | EntityFallingTree              |   0 |
| Electroblob's Wizardry           | ebwizardry:arrow_rain                                     | EntityArrowRain                |  55 |
| Electroblob's Wizardry           | ebwizardry:black_hole                                     | EntityBlackHole                |  45 |
| Electroblob's Wizardry           | ebwizardry:blaze_minion                                   | EntityBlazeMinion              |   5 |
| Electroblob's Wizardry           | ebwizardry:blizzard                                       | EntityBlizzard                 |  46 |
| Electroblob's Wizardry           | ebwizardry:bubble                                         | EntityBubble                   |  59 |
| Electroblob's Wizardry           | ebwizardry:combustion_rune                                | EntityCombustionRune           |  51 |
| Electroblob's Wizardry           | ebwizardry:darkness_orb                                   | EntityDarknessOrb              |  34 |
| Electroblob's Wizardry           | ebwizardry:dart                                           | EntityDart                     |  25 |
| Electroblob's Wizardry           | ebwizardry:decay                                          | EntityDecay                    |  54 |
| Electroblob's Wizardry           | ebwizardry:decoy                                          | EntityDecoy                    |  16 |
| Electroblob's Wizardry           | ebwizardry:earthquake                                     | EntityEarthquake               |  56 |
| Electroblob's Wizardry           | ebwizardry:ember                                          | EntityEmber                    |  38 |
| Electroblob's Wizardry           | ebwizardry:evil_wizard                                    | EntityEvilWizard               |  20 |
| Electroblob's Wizardry           | ebwizardry:fire_sigil                                     | EntityFireSigil                |  48 |
| Electroblob's Wizardry           | ebwizardry:firebolt                                       | EntityFirebolt                 |  35 |
| Electroblob's Wizardry           | ebwizardry:firebomb                                       | EntityFirebomb                 |  27 |
| Electroblob's Wizardry           | ebwizardry:force_arrow                                    | EntityForceArrow               |  24 |
| Electroblob's Wizardry           | ebwizardry:force_orb                                      | EntityForceOrb                 |  32 |
| Electroblob's Wizardry           | ebwizardry:forcefield                                     | EntityForcefield               |  47 |
| Electroblob's Wizardry           | ebwizardry:frost_sigil                                    | EntityFrostSigil               |  49 |
| Electroblob's Wizardry           | ebwizardry:hailstorm                                      | EntityHailstorm                |  57 |
| Electroblob's Wizardry           | ebwizardry:healing_aura                                   | EntityHealAura                 |  53 |
| Electroblob's Wizardry           | ebwizardry:husk_minion                                    | EntityHuskMinion               |   1 |
| Electroblob's Wizardry           | ebwizardry:ice_charge                                     | EntityIceCharge                |  31 |
| Electroblob's Wizardry           | ebwizardry:ice_giant                                      | EntityIceGiant                 |  14 |
| Electroblob's Wizardry           | ebwizardry:ice_lance                                      | EntityIceLance                 |  26 |
| Electroblob's Wizardry           | ebwizardry:ice_shard                                      | EntityIceShard                 |  22 |
| Electroblob's Wizardry           | ebwizardry:ice_spike                                      | EntityIceSpike                 |  61 |
| Electroblob's Wizardry           | ebwizardry:ice_wraith                                     | EntityIceWraith                |   9 |
| Electroblob's Wizardry           | ebwizardry:iceball                                        | EntityIceball                  |  41 |
| Electroblob's Wizardry           | ebwizardry:large_magic_fireball                           | EntityLargeMagicFireball       |  40 |
| Electroblob's Wizardry           | ebwizardry:levitating_block                               | EntityLevitatingBlock          |  44 |
| Electroblob's Wizardry           | ebwizardry:lightning_arrow                                | EntityLightningArrow           |  23 |
| Electroblob's Wizardry           | ebwizardry:lightning_disc                                 | EntityLightningDisc            |  37 |
| Electroblob's Wizardry           | ebwizardry:lightning_hammer                               | EntityHammer                   |  43 |
| Electroblob's Wizardry           | ebwizardry:lightning_sigil                                | EntityLightningSigil           |  50 |
| Electroblob's Wizardry           | ebwizardry:lightning_wraith                               | EntityLightningWraith          |  10 |
| Electroblob's Wizardry           | ebwizardry:magic_fireball                                 | EntityMagicFireball            |  39 |
| Electroblob's Wizardry           | ebwizardry:magic_missile                                  | EntityMagicMissile             |  21 |
| Electroblob's Wizardry           | ebwizardry:magic_slime                                    | EntityMagicSlime               |  15 |
| Electroblob's Wizardry           | ebwizardry:meteor                                         | EntityMeteor                   |  42 |
| Electroblob's Wizardry           | ebwizardry:phoenix                                        | EntityPhoenix                  |  13 |
| Electroblob's Wizardry           | ebwizardry:poison_bomb                                    | EntityPoisonBomb               |  28 |
| Electroblob's Wizardry           | ebwizardry:ring_of_fire                                   | EntityFireRing                 |  52 |
| Electroblob's Wizardry           | ebwizardry:shadow_wraith                                  | EntityShadowWraith             |  17 |
| Electroblob's Wizardry           | ebwizardry:shield                                         | EntityShield                   |  58 |
| Electroblob's Wizardry           | ebwizardry:silverfish_minion                              | EntitySilverfishMinion         |   7 |
| Electroblob's Wizardry           | ebwizardry:skeleton_minion                                | EntitySkeletonMinion           |   2 |
| Electroblob's Wizardry           | ebwizardry:smoke_bomb                                     | EntitySmokeBomb                |  30 |
| Electroblob's Wizardry           | ebwizardry:spark                                          | EntitySpark                    |  33 |
| Electroblob's Wizardry           | ebwizardry:spark_bomb                                     | EntitySparkBomb                |  29 |
| Electroblob's Wizardry           | ebwizardry:spider_minion                                  | EntitySpiderMinion             |   4 |
| Electroblob's Wizardry           | ebwizardry:spirit_horse                                   | EntitySpiritHorse              |  12 |
| Electroblob's Wizardry           | ebwizardry:spirit_wolf                                    | EntitySpiritWolf               |  11 |
| Electroblob's Wizardry           | ebwizardry:storm_elemental                                | EntityStormElemental           |  18 |
| Electroblob's Wizardry           | ebwizardry:stray_minion                                   | EntityStrayMinion              |   3 |
| Electroblob's Wizardry           | ebwizardry:thunderbolt                                    | EntityThunderbolt              |  36 |
| Electroblob's Wizardry           | ebwizardry:tornado                                        | EntityTornado                  |  60 |
| Electroblob's Wizardry           | ebwizardry:vex_minion                                     | EntityVexMinion                |   8 |
| Electroblob's Wizardry           | ebwizardry:wither_skeleton_minion                         | EntityWitherSkeletonMinion     |   6 |
| Electroblob's Wizardry           | ebwizardry:wizard                                         | EntityWizard                   |  19 |
| Electroblob's Wizardry           | ebwizardry:zombie_minion                                  | EntityZombieMinion             |   0 |
| Embers Rekindled                 | embers:ancient_golem                                      | EntityAncientGolem             |   2 |
| Embers Rekindled                 | embers:ember_light                                        | EntityEmberLight               |   3 |
| Embers Rekindled                 | embers:ember_packet                                       | EntityEmberPacket              |   0 |
| Embers Rekindled                 | embers:ember_projectile                                   | EntityEmberProjectile          |   1 |
| Embers Rekindled                 | embers:magma_projectile                                   | EntityMagmaProjectile          |   5 |
| Embers Rekindled                 | embers:magma_worm                                         | EntityMagmaWorm                |   4 |
| Extra Bit Manipulation           | extrabitmanipulation:entity_bit                           | EntityBit                      |   0 |
| Inspirations                     | inspirations:arrow                                        | EntityModArrow                 |   0 |
| Kathairis                        | kathairis:textures/entity/bigturtle.png                   | EntityBigTurtle                |   5 |
| Kathairis                        | kathairis:textures/entity/bison.png                       | EntityBison                    |   7 |
| Kathairis                        | kathairis:textures/entity/butterfly.png                   | EntityButterfly                |   8 |
| Kathairis                        | kathairis:textures/entity/butterfly1.png                  | EntityButterfly1               |   9 |
| Kathairis                        | kathairis:textures/entity/cacti_spore.png                 | EntityCactiSpore               |  28 |
| Kathairis                        | kathairis:textures/entity/camel.png                       | EntityCamel                    |  16 |
| Kathairis                        | kathairis:textures/entity/cloudoister.png                 | EntityCloudOister              |  18 |
| Kathairis                        | kathairis:textures/entity/cloudshimmer.png                | EntityCloudShimmer             |  20 |
| Kathairis                        | kathairis:textures/entity/cloudyslime.png                 | EntityCloudySlime              |  19 |
| Kathairis                        | kathairis:textures/entity/death.png                       | EntityDeath                    |  15 |
| Kathairis                        | kathairis:textures/entity/flyingsquid.png                 | EntityFlyingSquid              |  21 |
| Kathairis                        | kathairis:textures/entity/fungite.png                     | EntityFungite                  |  17 |
| Kathairis                        | kathairis:textures/entity/gaznowel.png                    | EntityGaznowel                 |  26 |
| Kathairis                        | kathairis:textures/entity/gecko.png                       | EntityGecko                    |  25 |
| Kathairis                        | kathairis:textures/entity/howler.png                      | EntityHowler                   |   3 |
| Kathairis                        | kathairis:textures/entity/illukini.png                    | EntityIllukini                 |  23 |
| Kathairis                        | kathairis:textures/entity/jellyfish.png                   | EntityJellyFish                |   4 |
| Kathairis                        | kathairis:textures/entity/livingflower.png                | EntityLivingFlower             |   1 |
| Kathairis                        | kathairis:textures/entity/mysticbird.png                  | EntityMysticBird               |   2 |
| Kathairis                        | kathairis:textures/entity/phasm.png                       | EntityPhasm                    |  29 |
| Kathairis                        | kathairis:textures/entity/poisonousscorpion.png           | EntityPoisonousScorpion        |   6 |
| Kathairis                        | kathairis:textures/entity/projectiles/katharian_arrow.png | EntityKatharianArrow           |  27 |
| Kathairis                        | kathairis:textures/entity/rubysile.png                    | EntityRubySile                 |  24 |
| Kathairis                        | kathairis:textures/entity/shockingball.png                | EntityShockingBall             |  10 |
| Kathairis                        | kathairis:textures/entity/skeletonwarrior.png             | EntitySkeletonWarrior          |  13 |
| Kathairis                        | kathairis:textures/entity/skylight.png                    | EntitySkylight                 |  12 |
| Kathairis                        | kathairis:textures/entity/skyray.png                      | EntitySkyray                   |  22 |
| Kathairis                        | kathairis:textures/entity/steveghost.png                  | EntitySteveGhost               |  14 |
| Kathairis                        | kathairis:textures/entity/strangewanderer.png             | EntityStrangeWanderer          |  11 |
| LittleTiles                      | littletiles:animation                                     | EntityAnimation                |   2 |
| LittleTiles                      | littletiles:sizetnt                                       | EntitySizedTNTPrimed           |   0 |
| Lost Aether Content              | lost_aether:falling_rock                                  | EntityFallingRock              |   1 |
| Lost Aether Content              | lost_aether:king_aerwhale                                 | EntityAerwhaleKing             |   0 |
| Lost Aether Content              | lost_aether:zephyroo                                      | EntityZephyroo                 |   2 |
| MeeCreeps                        | meecreeps:meecreeps                                       | EntityMeeCreeps                |   1 |
| MeeCreeps                        | meecreeps:meecreeps_projectile                            | EntityProjectile               |   2 |
| Meldexun's Extra Spells          | extra_spells:armor_piercing_missile                       | EntityArmorPiercingMissile     |   1 |
| Meldexun's Extra Spells          | extra_spells:chargable_strike_missile                     | EntityChargableStrike          |   0 |
| Minecraft                        | minecraft:area_effect_cloud                               | EntityAreaEffectCloud          |   3 |
| Minecraft                        | minecraft:armor_stand                                     | EntityArmorStand               |  30 |
| Minecraft                        | minecraft:arrow                                           | EntityTippedArrow              |  10 |
| Minecraft                        | minecraft:bat                                             | EntityBat                      |  65 |
| Minecraft                        | minecraft:blaze                                           | EntityBlaze                    |  61 |
| Minecraft                        | minecraft:boat                                            | EntityBoat                     |  41 |
| Minecraft                        | minecraft:cave_spider                                     | EntityCaveSpider               |  59 |
| Minecraft                        | minecraft:chest_minecart                                  | EntityMinecartChest            |  43 |
| Minecraft                        | minecraft:chicken                                         | EntityChicken                  |  93 |
| Minecraft                        | minecraft:commandblock_minecart                           | EntityMinecartCommandBlock     |  40 |
| Minecraft                        | minecraft:cow                                             | EntityCow                      |  92 |
| Minecraft                        | minecraft:creeper                                         | EntityCreeper                  |  50 |
| Minecraft                        | minecraft:donkey                                          | EntityDonkey                   |  31 |
| Minecraft                        | minecraft:dragon_fireball                                 | EntityDragonFireball           |  26 |
| Minecraft                        | minecraft:egg                                             | EntityEgg                      |   7 |
| Minecraft                        | minecraft:elder_guardian                                  | EntityElderGuardian            |   4 |
| Minecraft                        | minecraft:ender_crystal                                   | EntityEnderCrystal             | 200 |
| Minecraft                        | minecraft:ender_dragon                                    | EntityDragon                   |  63 |
| Minecraft                        | minecraft:ender_pearl                                     | EntityEnderPearl               |  14 |
| Minecraft                        | minecraft:enderman                                        | EntityEnderman                 |  58 |
| Minecraft                        | minecraft:endermite                                       | EntityEndermite                |  67 |
| Minecraft                        | minecraft:evocation_fangs                                 | EntityEvokerFangs              |  33 |
| Minecraft                        | minecraft:evocation_illager                               | EntityEvoker                   |  34 |
| Minecraft                        | minecraft:eye_of_ender_signal                             | EntityEnderEye                 |  15 |
| Minecraft                        | minecraft:falling_block                                   | EntityFallingBlock             |  21 |
| Minecraft                        | minecraft:fireball                                        | EntityLargeFireball            |  12 |
| Minecraft                        | minecraft:fireworks_rocket                                | EntityFireworkRocket           |  22 |
| Minecraft                        | minecraft:furnace_minecart                                | EntityMinecartFurnace          |  44 |
| Minecraft                        | minecraft:ghast                                           | EntityGhast                    |  56 |
| Minecraft                        | minecraft:giant                                           | EntityGiantZombie              |  53 |
| Minecraft                        | minecraft:guardian                                        | EntityGuardian                 |  68 |
| Minecraft                        | minecraft:hopper_minecart                                 | EntityMinecartHopper           |  46 |
| Minecraft                        | minecraft:horse                                           | EntityHorse                    | 100 |
| Minecraft                        | minecraft:husk                                            | EntityHusk                     |  23 |
| Minecraft                        | minecraft:illusion_illager                                | EntityIllusionIllager          |  37 |
| Minecraft                        | minecraft:item                                            | EntityItem                     |   1 |
| Minecraft                        | minecraft:item_frame                                      | EntityItemFrame                |  18 |
| Minecraft                        | minecraft:leash_knot                                      | EntityLeashKnot                |   8 |
| Minecraft                        | minecraft:llama                                           | EntityLlama                    | 103 |
| Minecraft                        | minecraft:llama_spit                                      | EntityLlamaSpit                | 104 |
| Minecraft                        | minecraft:magma_cube                                      | EntityMagmaCube                |  62 |
| Minecraft                        | minecraft:minecart                                        | EntityMinecartEmpty            |  42 |
| Minecraft                        | minecraft:mooshroom                                       | EntityMooshroom                |  96 |
| Minecraft                        | minecraft:mule                                            | EntityMule                     |  32 |
| Minecraft                        | minecraft:ocelot                                          | EntityOcelot                   |  98 |
| Minecraft                        | minecraft:painting                                        | EntityPainting                 |   9 |
| Minecraft                        | minecraft:parrot                                          | EntityParrot                   | 105 |
| Minecraft                        | minecraft:pig                                             | EntityPig                      |  90 |
| Minecraft                        | minecraft:polar_bear                                      | EntityPolarBear                | 102 |
| Minecraft                        | minecraft:potion                                          | EntityPotion                   |  16 |
| Minecraft                        | minecraft:rabbit                                          | EntityRabbit                   | 101 |
| Minecraft                        | minecraft:sheep                                           | EntitySheep                    |  91 |
| Minecraft                        | minecraft:shulker                                         | EntityShulker                  |  69 |
| Minecraft                        | minecraft:shulker_bullet                                  | EntityShulkerBullet            |  25 |
| Minecraft                        | minecraft:silverfish                                      | EntitySilverfish               |  60 |
| Minecraft                        | minecraft:skeleton                                        | EntitySkeleton                 |  51 |
| Minecraft                        | minecraft:skeleton_horse                                  | EntitySkeletonHorse            |  28 |
| Minecraft                        | minecraft:slime                                           | EntitySlime                    |  55 |
| Minecraft                        | minecraft:small_fireball                                  | EntitySmallFireball            |  13 |
| Minecraft                        | minecraft:snowball                                        | EntitySnowball                 |  11 |
| Minecraft                        | minecraft:snowman                                         | EntitySnowman                  |  97 |
| Minecraft                        | minecraft:spawner_minecart                                | EntityMinecartMobSpawner       |  47 |
| Minecraft                        | minecraft:spectral_arrow                                  | EntitySpectralArrow            |  24 |
| Minecraft                        | minecraft:spider                                          | EntitySpider                   |  52 |
| Minecraft                        | minecraft:squid                                           | EntitySquid                    |  94 |
